rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Product Unavailability Block,URGENT,Product Page,Medium,2-5 days,5,10,no,conversion|trust,"Product page shows price but only 'Get Notified' CTA, blocking purchase without clear unavailability messaging.","A product page displays a price but offers a 'Get Notified' CTA instead of an 'Add to Cart' button, indicating unavailability without clear upfront communication.","h1: Anytime Ankle Sock; cta: Add to Cart (if available) / Out of Stock (if unavailable); notes: If the product is unavailable, clearly state 'Out of Stock' or 'Coming Soon' near the product title/price. If it's available, ensure an 'Add to Cart' CTA is present. Avoid leading users to a product page where they cannot complete a purchase without clear upfront messaging.","On '/products/anytime-ankle-sock', 'prices': ['$14.00'] is present, but 'ctas': ['Get Notified'] is offered, with no 'Add to Cart' CTA.",Funnel-Path & Commerce Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_product_unavailability_block.html
2,Vague hero copy,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,"Hero headline is a brand slogan, not a value proposition, failing to communicate product and benefits.","The hero headline 'Wildly Comfortable. Super Natural.' is abstract and doesn't directly address the visitor's intent to find comfortable, sustainable shoes, causing them to rely on secondary copy or navigation to understand the value proposition.","h1: Comfortable Shoes, Made from Natural Materials; cta: Shop Men's Shoes / Shop Women's Shoes; notes: Directly state the product and key benefits. Use CTAs that specify the product category to reduce ambiguity and guide visitors to the right collection.","H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN', 'SHOP WOMEN'. Body sample includes 'Wear All Day Comfort' and 'Materials From The Earth' sections below the fold.",Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_2_vague_hero_copy.html
3,No social proof in hero,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"Hero lacks trust signals like reviews or customer count, reducing credibility for first-time visitors.","The hero lacks any trust signals (reviews, ratings, or customer count), so first-time visitors may doubt the comfort claim and hesitate to click through.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Add a line under the CTAs: 'Rated 4.6/5 by 50,000+ customers' or a small strip of press logos (e.g., 'As seen in Vogue, GQ, Forbes').","Hero H1: 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN' — no review stars, no 'loved by X customers', no press logos.",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_3_no_social_proof_in_hero.html
4,Conditional Shipping Cost Clarity,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion|trust,"Shipping cost for orders under free shipping threshold is not stated upfront, causing surprise at cart.",The default shipping cost for orders under the free shipping threshold is not clearly stated on the landing page prior to cart interaction.,"h1: Wildly Comfortable. Super Natural.; cta: N/A; notes: Clearly state the standard shipping cost (e.g., '$5.00 flat rate shipping on orders under $100') alongside the free shipping offer on the homepage, perhaps in the header or a prominent banner, to ensure full transparency before cart engagement.","The 'body_sample' on '/' states 'Free ground shipping on orders over $100'. However, the 'Added to Cart' section later reveals 'Shipping $5.00' for orders not meeting this threshold.",Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_conditional_shipping_cost_clarity.html
5,Free shipping threshold hidden,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,"Hero does not mention free shipping threshold, which is only in sitewide banner, potentially causing cart abandonment.","The homepage hero promotes 'Wildly Comfortable. Super Natural.' without mentioning the $100 free shipping threshold, which is only disclosed in the sitewide banner, potentially causing cart abandonment at checkout.",h1: Wildly Comfortable. Super Natural. Free Shipping Over $100; cta: SHOP MEN / SHOP WOMEN; notes: Add a subheadline or badge indicating free shipping threshold to set expectations early.,Hero copy: 'Wildly Comfortable. Super Natural.' while the sitewide banner states 'Free ground shipping on orders over $100'.,Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_free_shipping_threshold_hidden.html
6,Mega-menu choice overload,HIGH,Navigation,Low,0.5-2 days,5,10,no,conversion,"Mega-menu with 20+ items per category overwhelms users, increasing cognitive load and decision paralysis.","The mega-menu presents 20+ items per category, overwhelming users and increasing cognitive load, which can lead to decision paralysis and reduced navigation efficiency.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Reduce menu items to top 5-7 per category, group related items under clear headings, and use visual hierarchy to guide users.","The homepage nav_items list includes 20 items: 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_6_mega_menu_choice_overload.html
7,Hero CTA ambiguity,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"Hero CTAs 'SHOP MEN' and 'SHOP WOMEN' are generic and lack value proposition, reducing click-through.","The hero CTAs 'SHOP MEN' and 'SHOP WOMEN' are generic and do not communicate a value proposition, reducing click-through motivation.","h1: Wildly Comfortable. Super Natural.; cta: Shop New Arrivals; notes: Use CTAs that highlight specific collections or value propositions, e.g., 'Shop New Arrivals' or 'Explore Bestsellers'.",The homepage hero section contains CTAs 'SHOP MEN' and 'SHOP WOMEN' with no additional context or urgency.,Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_7_hero_cta_ambiguity.html
8,Missing H1 and description,HIGH,Homepage,Medium,2-5 days,5,10,no,traffic,"Collection page lacks H1 and meta description, hurting SEO and user clarity.","The 'Shop All' collection page lacks an H1 and meta description, leaving visitors without a clear context for the page and hurting SEO, which can reduce organic traffic and confuse users.","h1: Shop All Shoes & Apparel; cta: Filter & Sort; notes: Add a descriptive H1 that includes the product categories and a meta description that highlights the range and brand promise, improving SEO and user clarity.",H1 count: 0. Meta description: null. Title: 'SHOP ALL '26'. Body sample starts with 'SHOP ALL '26' but no descriptive text.,Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_missing_h1_and_description.html
9,Single-field email capture,HIGH,Forms & Signup,Low,0.5-2 days,3,10,no,conversion,"Email signup form lacks incentive and privacy trust, reducing opt-in rates.","The homepage email signup form asks only for an email address, which is the minimum viable field set for a cold capture, but it lacks a trust layer (e.g., privacy note, incentive) which may reduce opt-in rates.","h1: Wildly Comfortable. Super Natural.; cta: Sign Up for 10% Off; notes: Add a clear incentive (e.g., 'Get 10% off your first order') and a microcopy trust line like 'No spam, unsubscribe anytime.' to increase signup conversion.","The homepage has a form with 1 input, no labels, and submit button 'Sign Up'. The body sample shows 'Subscribe to our emails Sign Up'.",Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_single_field_email_capture.html
10,Controls without accessible names,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,41 unlabelled interactive controls hinder screen reader and voice control users.,"41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 41 of 79 <button> elements contain no text content and no aria-label.,Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_controls_without_accessible_names.html
